model,track_id,stem_id,mldr_lr,mss_lr,mldr_ms,mss_ms,param_mse
nn_mfcc,TheScarletBrand_LesFleursDuMal_RAW,TheScarletBrand_LesFleursDuMal_RAW_08_01,0.6908220649,0.8613644838,0.872898221,1.085944533,12.01243973
nn_mir,MusicDelta_Disco_RAW,MusicDelta_Disco_RAW_04_01,0.7354210615,0.6766447425,1.041435242,1.088279009,5.399424076
nn_mfcc,BrandonWebster_YesSirICanFly_RAW,BrandonWebster_YesSirICanFly_RAW_02_01,0.5934491158,0.9581410289,0.7252767682,1.09132719,5.521107674
mfcc_1,MusicDelta_Britpop_RAW,MusicDelta_Britpop_RAW_07_01,0.6935796738,0.9426311851,0.9301700592,1.092437148,2.41857481
mfcc,MusicDelta_Gospel_RAW,MusicDelta_Gospel_RAW_06_01,0.5861141682,0.8622951508,0.8444538116,1.093879104,6.07612896
mir,BrandonWebster_DontHearAThing_RAW,BrandonWebster_DontHearAThing_RAW_01_01,1.448559165,1.021408916,1.297992706,1.095609903,8.785075188
mfcc_001,MusicDelta_Britpop_RAW,MusicDelta_Britpop_RAW_07_01,0.5767979622,0.9377326369,0.7751097679,1.096856117,2.763974667
nn_param,LizNelson_Coldwar_RAW,LizNelson_Coldwar_RAW_02_01,0.8638370633,0.8179601431,1.068677545,1.098052979,2.37682271
afx_1,MusicDelta_Grunge_RAW,MusicDelta_Grunge_RAW_05_01,0.6780307293,0.5443054438,0.9779670238,1.102230072,2.630083323
mir_01,TheScarletBrand_LesFleursDuMal_RAW,TheScarletBrand_LesFleursDuMal_RAW_08_01,0.5473066568,0.9674825668,0.6674846411,1.102655888,3.517405033
gt,Torres_NewSkin_RAW,Torres_NewSkin_RAW_05_01,0.6624282598,0.9861959219,0.7093657255,1.103373051,0
gt,LizNelson_ImComingHome_RAW,LizNelson_ImComingHome_RAW_02_01,0.1596235931,1.078693748,0.2817111611,1.104597092,0
mfcc_01,LizNelson_Rainfall_RAW,LizNelson_Rainfall_RAW_01_01,0.8917746544,0.8586902618,1.045553446,1.110203266,3.271635056
gt,LizNelson_ImComingHome_RAW,LizNelson_ImComingHome_RAW_04_01,0.3863310516,1.078789234,0.3475789428,1.111761093,0
nn_param,LizNelson_Rainfall_RAW,LizNelson_Rainfall_RAW_01_01,0.7750393152,0.6555452347,0.843536973,1.114298582,3.306511164
nn_mir,ClaraBerryAndWooldog_AirTraffic_RAW,ClaraBerryAndWooldog_AirTraffic_RAW_08_01,0.6798960567,0.5911972523,0.9700235128,1.114455223,6.999687195
nn_mfcc,MusicDelta_Britpop_RAW,MusicDelta_Britpop_RAW_08_01,0.6950858235,0.7748615146,1.163498044,1.114660144,4.876999378
mir_01,LizNelson_Coldwar_RAW,LizNelson_Coldwar_RAW_02_01,0.8689796925,0.7129532695,0.9243609905,1.114982367,2.290123463
afx,MusicDelta_Punk_RAW,MusicDelta_Punk_RAW_04_01,0.6072969437,0.7218741179,0.8296117783,1.118703842,5.073405743
afx_001,Torres_NewSkin_RAW,Torres_NewSkin_RAW_02_01,0.6386767626,0.8628491163,0.7723354101,1.11971426,5.923996449
mfcc_01,MusicDelta_Punk_RAW,MusicDelta_Punk_RAW_04_01,0.6770350933,0.7864801288,1.406290174,1.120360494,2.836168051
mfcc_001,BrandonWebster_YesSirICanFly_RAW,BrandonWebster_YesSirICanFly_RAW_02_01,0.6238638163,0.9105679393,0.7362114191,1.120434523,3.573641777
mir_001,CatMartino_IPromise_RAW,CatMartino_IPromise_RAW_06_01,0.5633717775,0.8704845309,0.697789669,1.121073842,1.960225582
